Name	ID pre-miRNA
hsa-miR-223-3p	MI0000300
hsa-miR-224-5p	MI0000301
hsa-miR-224-3p	MI0000301
hsa-miR-200b-5p	MI0000342
hsa-miR-200b-3p	MI0000342
hsa-let-7g-5p	MI0000433
hsa-let-7g-3p	MI0000433
hsa-let-7i-5p	MI0000434
hsa-let-7i-3p	MI0000434
hsa-miR-1	MI0000437
hsa-miR-15b-5p	MI0000438
hsa-miR-15b-3p	MI0000438
hsa-miR-23b-5p	MI0000439
hsa-miR-23b-3p	MI0000439
hsa-miR-27b-5p	MI0000440
hsa-miR-27b-3p	MI0000440
hsa-miR-30b-5p	MI0000441
hsa-miR-30b-3p	MI0000441
hsa-miR-122-5p	MI0000442
hsa-miR-122-3p	MI0000442
hsa-miR-124-5p	MI0000443
hsa-miR-124-3p	MI0000443
hsa-miR-124-5p	MI0000444
hsa-miR-124-3p	MI0000444
hsa-miR-124-5p	MI0000445
hsa-miR-124-3p	MI0000445
hsa-miR-125b-5p	MI0000446
hsa-miR-125b-1-3p	MI0000446
hsa-miR-128	MI0000447
hsa-miR-130a-5p	MI0000448
hsa-miR-130a-3p	MI0000448
hsa-miR-132-5p	MI0000449
hsa-miR-132-3p	MI0000449
hsa-miR-133a	MI0000450
hsa-miR-133a	MI0000451
hsa-miR-135a-5p	MI0000452
hsa-miR-135a-3p	MI0000452
hsa-miR-135a-5p	MI0000453
hsa-miR-137	MI0000454
hsa-miR-138-5p	MI0000455
hsa-miR-138-2-3p	MI0000455
hsa-miR-140-5p	MI0000456
hsa-miR-140-3p	MI0000456
hsa-miR-141-5p	MI0000457
hsa-miR-141-3p	MI0000457
hsa-miR-142-5p	MI0000458
hsa-miR-142-3p	MI0000458
hsa-miR-143-5p	MI0000459
hsa-miR-143-3p	MI0000459
hsa-miR-144-5p	MI0000460
hsa-miR-144-3p	MI0000460
hsa-miR-145-5p	MI0000461
hsa-miR-145-3p	MI0000461
hsa-miR-152	MI0000462
hsa-miR-153	MI0000463
hsa-miR-153	MI0000464
hsa-miR-191-5p	MI0000465
hsa-miR-191-3p	MI0000465
hsa-miR-9-5p	MI0000466
hsa-miR-9-3p	MI0000466
hsa-miR-9-5p	MI0000467
hsa-miR-9-3p	MI0000467
hsa-miR-9-5p	MI0000468
hsa-miR-9-3p	MI0000468
hsa-miR-125a-5p	MI0000469
hsa-miR-125a-3p	MI0000469
hsa-miR-125b-2-3p	MI0000470
hsa-miR-125b-5p	MI0000470
hsa-miR-126-5p	MI0000471
hsa-miR-126-3p	MI0000471
hsa-miR-127-5p	MI0000472
hsa-miR-127-3p	MI0000472
hsa-miR-129-5p	MI0000473
hsa-miR-129-2-3p	MI0000473
hsa-miR-134	MI0000474
hsa-miR-136-5p	MI0000475
hsa-miR-136-3p	MI0000475
hsa-miR-138-1-3p	MI0000476
hsa-miR-138-5p	MI0000476
hsa-miR-146a-5p	MI0000477
hsa-miR-146a-3p	MI0000477
hsa-miR-149-5p	MI0000478
hsa-miR-149-3p	MI0000478
hsa-miR-150-5p	MI0000479
hsa-miR-150-3p	MI0000479
hsa-miR-154-5p	MI0000480
hsa-miR-154-3p	MI0000480
hsa-miR-184	MI0000481
hsa-miR-185-5p	MI0000482
hsa-miR-185-3p	MI0000482
hsa-miR-186-5p	MI0000483
hsa-miR-186-3p	MI0000483
hsa-miR-188-5p	MI0000484
hsa-miR-188-3p	MI0000484
hsa-miR-190a	MI0000486
hsa-miR-193a-5p	MI0000487
hsa-miR-193a-3p	MI0000487
hsa-miR-194-5p	MI0000488
hsa-miR-195-5p	MI0000489
hsa-miR-195-3p	MI0000489
hsa-miR-206	MI0000490
hsa-miR-320a	MI0000542
hsa-miR-200c-5p	MI0000650
hsa-miR-200c-3p	MI0000650
hsa-miR-1	MI0000651
hsa-miR-155-5p	MI0000681
hsa-miR-155-3p	MI0000681
hsa-miR-181b-5p	MI0000683
hsa-miR-128	MI0000727
hsa-miR-194-3p	MI0000732
hsa-miR-194-5p	MI0000732
hsa-miR-106b-5p	MI0000734
hsa-miR-106b-3p	MI0000734
hsa-miR-29c-5p	MI0000735
hsa-miR-29c-3p	MI0000735
hsa-miR-30c-1-3p	MI0000736
hsa-miR-30c-5p	MI0000736
hsa-miR-200a-5p	MI0000737
hsa-miR-200a-3p	MI0000737
hsa-miR-302a-5p	MI0000738
hsa-miR-302a-3p	MI0000738
hsa-miR-101-3p	MI0000739
hsa-miR-219-5p	MI0000740
hsa-miR-219-2-3p	MI0000740
hsa-miR-34b-5p	MI0000742
hsa-miR-34b-3p	MI0000742
hsa-miR-34c-5p	MI0000743
hsa-miR-34c-3p	MI0000743
hsa-miR-299-5p	MI0000744
hsa-miR-299-3p	MI0000744
hsa-miR-301a-3p	MI0000745
hsa-miR-301a-5p	MI0000745
hsa-miR-99b-5p	MI0000746
hsa-miR-99b-3p	MI0000746
hsa-miR-296-5p	MI0000747
hsa-miR-296-3p	MI0000747
hsa-miR-130b-5p	MI0000748
hsa-miR-130b-3p	MI0000748
hsa-miR-30e-5p	MI0000749
hsa-miR-30e-3p	MI0000749
hsa-miR-26a-2-3p	MI0000750
hsa-miR-26a-5p	MI0000750
hsa-miR-361-5p	MI0000760
hsa-miR-361-3p	MI0000760
hsa-miR-362-5p	MI0000762
hsa-miR-362-3p	MI0000762
hsa-miR-363-5p	MI0000764
hsa-miR-363-3p	MI0000764
hsa-miR-365a-3p	MI0000767
hsa-miR-365a-5p	MI0000767
hsa-miR-365b-5p	MI0000769
hsa-miR-365b-3p	MI0000769
hsa-miR-302b-5p	MI0000772
hsa-miR-302b-3p	MI0000772
hsa-miR-302c-5p	MI0000773
hsa-miR-302c-3p	MI0000773
hsa-miR-302d-5p	MI0000774
hsa-miR-302d-3p	MI0000774
hsa-miR-367-5p	MI0000775
hsa-miR-367-3p	MI0000775
hsa-miR-376c	MI0000776
hsa-miR-369-5p	MI0000777
hsa-miR-369-3p	MI0000777
hsa-miR-370	MI0000778
hsa-miR-371a-5p	MI0000779
hsa-miR-371a-3p	MI0000779
hsa-miR-372	MI0000780
hsa-miR-373-5p	MI0000781
hsa-miR-373-3p	MI0000781
hsa-miR-374a-5p	MI0000782
hsa-miR-374a-3p	MI0000782
hsa-miR-375	MI0000783
hsa-miR-376a-5p	MI0000784
hsa-miR-376a-3p	MI0000784
hsa-miR-377-5p	MI0000785
hsa-miR-377-3p	MI0000785
hsa-miR-378a-5p	MI0000786
hsa-miR-378a-3p	MI0000786
hsa-miR-379-5p	MI0000787
hsa-miR-379-3p	MI0000787
hsa-miR-380-5p	MI0000788
hsa-miR-380-3p	MI0000788
hsa-miR-381	MI0000789
hsa-miR-382-5p	MI0000790
hsa-miR-382-3p	MI0000790
hsa-miR-383	MI0000791
hsa-miR-340-5p	MI0000802
hsa-miR-340-3p	MI0000802
hsa-miR-330-5p	MI0000803
hsa-miR-330-3p	MI0000803
hsa-miR-328	MI0000804
hsa-miR-342-5p	MI0000805
hsa-miR-342-3p	MI0000805
hsa-miR-337-5p	MI0000806
hsa-miR-337-3p	MI0000806
hsa-miR-323a-5p	MI0000807
hsa-miR-323a-3p	MI0000807
hsa-miR-326	MI0000808
hsa-miR-151a-5p	MI0000809
hsa-miR-151a-3p	MI0000809
hsa-miR-135b-5p	MI0000810
hsa-miR-135b-3p	MI0000810
hsa-miR-148b-5p	MI0000811
hsa-miR-148b-3p	MI0000811
hsa-miR-331-5p	MI0000812
hsa-miR-331-3p	MI0000812
hsa-miR-324-5p	MI0000813
hsa-miR-324-3p	MI0000813
hsa-miR-338-5p	MI0000814
hsa-miR-338-3p	MI0000814
hsa-miR-339-5p	MI0000815
hsa-miR-339-3p	MI0000815
hsa-miR-335-5p	MI0000816
hsa-miR-335-3p	MI0000816
hsa-miR-133b	MI0000822
hsa-miR-325	MI0000824
hsa-miR-345-5p	MI0000825
hsa-miR-345-3p	MI0000825
hsa-miR-346	MI0000826
hsa-miR-384	MI0001145
hsa-miR-196b-5p	MI0001150
hsa-miR-196b-3p	MI0001150
hsa-miR-422a	MI0001444
hsa-miR-423-5p	MI0001445
hsa-miR-423-3p	MI0001445
hsa-miR-424-5p	MI0001446
hsa-miR-424-3p	MI0001446
hsa-miR-425-5p	MI0001448
hsa-miR-425-3p	MI0001448
hsa-miR-18b-5p	MI0001518
hsa-miR-18b-3p	MI0001518
hsa-miR-20b-5p	MI0001519
hsa-miR-20b-3p	MI0001519
hsa-miR-448	MI0001637
hsa-miR-429	MI0001641
hsa-miR-449a	MI0001648
hsa-miR-450a-5p	MI0001652
hsa-miR-431-5p	MI0001721
hsa-miR-431-3p	MI0001721
hsa-miR-433	MI0001723
hsa-miR-329	MI0001725
hsa-miR-329	MI0001726
hsa-miR-451a	MI0001729
hsa-miR-452-5p	MI0001733
hsa-miR-452-3p	MI0001733
hsa-miR-409-5p	MI0001735
hsa-miR-409-3p	MI0001735
hsa-miR-412	MI0002464
hsa-miR-410	MI0002465
hsa-miR-376b	MI0002466
hsa-miR-483-5p	MI0002467
hsa-miR-483-3p	MI0002467
hsa-miR-484	MI0002468
hsa-miR-485-5p	MI0002469
hsa-miR-485-3p	MI0002469
hsa-miR-486-5p	MI0002470
hsa-miR-486-3p	MI0002470
hsa-miR-487a	MI0002471
hsa-miR-488-5p	MI0003123
hsa-miR-488-3p	MI0003123
hsa-miR-489	MI0003124
hsa-miR-490-5p	MI0003125
hsa-miR-490-3p	MI0003125
hsa-miR-491-5p	MI0003126
hsa-miR-491-3p	MI0003126
hsa-miR-511	MI0003127
hsa-miR-511	MI0003128
hsa-miR-146b-5p	MI0003129
hsa-miR-146b-3p	MI0003129
hsa-miR-202-5p	MI0003130
hsa-miR-202-3p	MI0003130
hsa-miR-492	MI0003131
hsa-miR-493-5p	MI0003132
hsa-miR-493-3p	MI0003132
hsa-miR-432-5p	MI0003133
hsa-miR-432-3p	MI0003133
hsa-miR-494	MI0003134
hsa-miR-495	MI0003135
hsa-miR-496	MI0003136
hsa-miR-193b-5p	MI0003137
hsa-miR-193b-3p	MI0003137
hsa-miR-497-5p	MI0003138
hsa-miR-497-3p	MI0003138
hsa-miR-181d	MI0003139
hsa-miR-512-5p	MI0003140
hsa-miR-512-3p	MI0003140
hsa-miR-512-5p	MI0003141
hsa-miR-512-3p	MI0003141
hsa-miR-498	MI0003142
hsa-miR-520e	MI0003143
hsa-miR-515-5p	MI0003144
hsa-miR-515-3p	MI0003144
hsa-miR-519e-5p	MI0003145
hsa-miR-519e-3p	MI0003145
hsa-miR-520f	MI0003146
hsa-miR-515-5p	MI0003147
hsa-miR-515-3p	MI0003147
hsa-miR-519c-5p	MI0003148
hsa-miR-519c-3p	MI0003148
hsa-miR-520a-5p	MI0003149
hsa-miR-520a-3p	MI0003149
hsa-miR-526b-5p	MI0003150
hsa-miR-526b-3p	MI0003150
hsa-miR-519b-5p	MI0003151
hsa-miR-519b-3p	MI0003151
hsa-miR-525-5p	MI0003152
hsa-miR-525-3p	MI0003152
hsa-miR-523-5p	MI0003153
hsa-miR-523-3p	MI0003153
hsa-miR-518f-5p	MI0003154
hsa-miR-518f-3p	MI0003154
hsa-miR-520b	MI0003155
hsa-miR-518b	MI0003156
hsa-miR-526a	MI0003157
hsa-miR-520c-5p	MI0003158
hsa-miR-520c-3p	MI0003158
hsa-miR-518c-5p	MI0003159
hsa-miR-518c-3p	MI0003159
hsa-miR-524-5p	MI0003160
hsa-miR-524-3p	MI0003160
hsa-miR-517-5p	MI0003161
hsa-miR-517a-3p	MI0003161
hsa-miR-519d	MI0003162
hsa-miR-521	MI0003163
hsa-miR-520d-5p	MI0003164
hsa-miR-520d-3p	MI0003164
hsa-miR-517b-3p	MI0003165
hsa-miR-517-5p	MI0003165
hsa-miR-520g	MI0003166
hsa-miR-516b-5p	MI0003167
hsa-miR-516b-3p	MI0003167
hsa-miR-526a	MI0003168
hsa-miR-518e-5p	MI0003169
hsa-miR-518e-3p	MI0003169
hsa-miR-518a-5p	MI0003170
hsa-miR-518a-3p	MI0003170
hsa-miR-518d-5p	MI0003171
hsa-miR-518d-3p	MI0003171
hsa-miR-516b-5p	MI0003172
hsa-miR-516b-3p	MI0003172
hsa-miR-518a-5p	MI0003173
hsa-miR-518a-3p	MI0003173
hsa-miR-517-5p	MI0003174
hsa-miR-517c-3p	MI0003174
